2;2                                  0              
2;2                                  0              ;2                                                 
2;2                                  0              ;2                                                 ;2                    7                           5
2;2                                  0              ;2                                                 ;2                    7                           5
58144 7 23 2777 0700 124  66 7 4123   9 48 0 15 93;58144 7 23 2777 0700 124  866 7 4123   9 48 0 15 9;58144 7 23 277 0700 124  66 7 412   9 48 0 15 93  ;58144  7 23 2777 0700 124  66 7 4123   9 48 0 15 9;58144 7 23 2777 0700 124  66 7 4123   9 48 0105 39
58144 7 23 2777 0700 124  866 7 4123   9 48 0 15 9;58144 7 23 277 0700 124  66 7 412   9 48 0 15 93  ;58144  7 23 2777 0700 124  66 7 4123   9 48 0 15 9;58144 7 23 2777 0700 124  66 7 4123   9 48 0105 39;58144 7 232777 0700 124  866 7 4123   9 48 0 15 9 
58144 7 23 2777 0700 124  866 7 4123   9 48 0 15 9;58144 7 23 277 0700 124  66 7 412   9 48 0 15 93  ;58144  7 23 2777 0700 124  66 7 4123   9 48 0 15 9;58144 7 232777 0700 124  866 7 4123   9 48 0 15 9 ;58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 
58144 7 23 2777 0700 124  866 7 4123   9 48 0 15 9;58144  7 23 2777 0700 124  66 7 4123   9 48 0 15 9;58144 7 232777 0700 124  866 7 4123   9 48 0 15 9 ;58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;8144 7 23 2777 0700 124  866 7 4123   9 48 0 5 9  
58144  7 23 2777 0700 124  66 7 4123   9 48 0 15 9;58144 7 232777 0700 124  866 7 4123   9 48 0 15 9 ;58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;8144 7 23 2777 0700 124  866 7 4123   9 48 0 5 9  ;58144  7 23 26777 0700 124  66 7 4123 1  9 48 0 15
58144  7 23 2777 0700 124  66 7 4123   9 48 0 15 9;58144 7 232777 0700 124  866 7 4123   9 48 0 15 9 ;58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;58144  7 23 26777 0700 124  66 7 4123 1  9 48 0 15;58144  7 23 2777 0700 124  66 7 41233  9 48 0 15 9
58144 7 232777 0700 124  866 7 4123   9 48 0 15 9 ;58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;58144  7 23 26777 0700 124  66 7 4123 1  9 48 0 15;58144  7 23 2777 0700 124  66 7 41233  9 48 0 15 9;58144 7232777 0700 1246   866 7 4123   9 48 0 15 9
58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;58144  7 23 26777 0700 124  66 7 4123 1  9 48 0 15;58144  7 23 2777 0700 124  66 7 41233  9 48 0 15 9;58144 7232777 0700 1246   866 7 4123   9 48 0 15 9;58144 7 23 2777 07000124  866 7 4123   9  48 0 15 
58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;58144  7 23 2777 0700 124  66 7 41233  9 48 0 15 9;58144 7232777 0700 1246   866 7 4123   9 48 0 15 9;58144 7 23 2777 07000124  866 7 4123   9  48 0 15 ;58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 
58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;58144  7 23 2777 0700 124  66 7 41233  9 48 0 15 9;58144 7 23 2777 07000124  866 7 4123   9  48 0 15 ;58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;58144 7 213 2777 0700124  866 7 4 123   9 48 0 15 
58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;58144  7 23 2777 0700 124  66 7 41233  9 48 0 15 9;58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;58144 7 213 2777 0700124  866 7 4 123   9 48 0 15 ;58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 
58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;58144 7 213 2777 0700124  866 7 4 123   9 48 0 15 ;58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;58144  23 2777 07003124  866 7 4123  9 48 0 15 9  
58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;58144 7 213 2777 0700124  866 7 4 123   9 48 0 15 ;58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;58144  23 2777 07003124  866 7 4123  9 48 0 15 9  ;58144 79 2 27778 0700124  866 7 4123   9 48 0 15 9
58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;58144  23 2777 07003124  866 7 4123  9 48 0 15 9  ;58144 79 2 27778 0700124  866 7 4123   9 48 0 15 9;58144 7 23 2777 0700124  866 7 412   9 48 0 15 9 5
58144 7 23 2777 0700124  866 7 4123   9 48 0 15 9 ;58144  23 2777 07003124  866 7 4123  9 48 0 15 9  ;58144 79 2 27778 0700124  866 7 4123   9 48 0 15 9;58144 7 23 2777 0700124  866 7 412   9 48 0 15 9 5;58144 7 23 2777 0700124  8664 7 4123   9 48 0 15 9
58144  23 2777 07003124  866 7 4123  9 48 0 15 9  ;58144 79 2 27778 0700124  866 7 4123   9 48 0 15 9;58144 7 23 2777 0700124  866 7 412   9 48 0 15 9 5;58144 7 23 2777 0700124  8664 7 4123   9 48 0 15 9;581444  823 2777 07003124  866 7 4123  9 48 0 1 9 
58144  23 2777 07003124  866 7 4123  9 48 0 15 9  ;58144 79 2 27778 0700124  866 7 4123   9 48 0 15 9;58144 7 23 2777 0700124  866 7 412   9 48 0 15 9 5;581444  823 2777 07003124  866 7 4123  9 48 0 1 9 ;58144  23 2777 07003124  866 7 4123  9 48 0 15 9  
58144  23 2777 07003124  866 7 4123  9 48 0 15 9  ;58144 79 2 27778 0700124  866 7 4123   9 48 0 15 9;58144 7 23 2777 0700124  866 7 412   9 48 0 15 9 5;581444  823 2777 07003124  866 7 4123  9 48 0 1 9 ;58144  23 2777 07003124  866 7 4123  9 48 0 15 9  
58144 79 2 27778 0700124  866 7 4123   9 48 0 15 9;58144 7 23 2777 0700124  866 7 412   9 48 0 15 9 5;581444  823 2777 07003124  866 7 4123  9 48 0 1 9 ;58144  23 2777 07003124  866 7 4123  9 48 0 15 9  ;58144 79 2 27778 0700124  866 7 4123   9 48 0 15 9
58144 7 23 2777 0700124  866 7 412   9 48 0 15 9 5;581444  823 2777 07003124  866 7 4123  9 48 0 1 9 ;58144  23 2777 07003124  866 7 4123  9 48 0 15 9  ;58144 79 2 27778 0700124  866 7 4123   9 48 0 15 9;58144 7 23 277 7 07001324  866 7 412   9 48 0 15 9
581444  823 2777 07003124  866 7 4123  9 48 0 1 9 ;58144  23 2777 07003124  866 7 4123  9 48 0 15 9  ;58144 79 2 27778 0700124  866 7 4123   9 48 0 15 9;58144 7 23 277 7 07001324  866 7 412   9 48 0 15 9;5814447  823 277 07003124 866 7 4123  9 48 0 1 9  
58144  23 2777 07003124  866 7 4123  9 48 0 15 9  ;58144 79 2 27778 0700124  866 7 4123   9 48 0 15 9;58144 7 23 277 7 07001324  866 7 412   9 48 0 15 9;5814447  823 277 07003124 866 7 4123  9 48 0 1 9  ;58144  123 2777 07003124  8662 7 4123  9 48 0 15 9
58144  23 2777 07003124  866 7 4123  9 48 0 15 9  ;58144 79 2 27778 0700124  866 7 4123   9 48 0 15 9;5814447  823 277 07003124 866 7 4123  9 48 0 1 9  ;58144  123 2777 07003124  8662 7 4123  9 48 0 15 9;58144  23 2777 07003124  866 7 4123  9 48 0 15 9  
58144  23 2777 07003124  866 7 4123  9 48 0 15 9  ;5814447  823 277 07003124 866 7 4123  9 48 0 1 9  ;58144  123 2777 07003124  8662 7 4123  9 48 0 15 9;58144  23 2777 07003124  866 7 4123  9 48 0 15 9  ;58144  23 2777 07003124  866 7 4123  9 458 0 15 9 
5814447  823 277 07003124 866 7 4123  9 48 0 1 9  ;58144  123 2777 07003124  8662 7 4123  9 48 0 15 9;58144  23 2777 07003124  866 7 4123  9 48 0 15 9  ;58144  23 2777 07003124  866 7 4123  9 458 0 15 9 ;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 
5814447  823 277 07003124 866 7 4123  9 48 0 1 9  ;58144  123 2777 07003124  8662 7 4123  9 48 0 15 9;58144  23 2777 07003124  866 7 4123  9 458 0 15 9 ;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447  823 277 07003124 866 7 4123  9 8 0 1 9   
5814447  823 277 07003124 866 7 4123  9 48 0 1 9  ;58144  123 2777 07003124  8662 7 4123  9 48 0 15 9;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447  823 277 07003124 866 7 4123  9 8 0 1 9   ;5814447  823 277 107003124 866 7 4123  9 48 0 1 49
5814447  823 277 07003124 866 7 4123  9 48 0 1 9  ;58144  123 2777 07003124  8662 7 4123  9 48 0 15 9;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447  823 277 107003124 866 7 4123  9 48 0 1 49;5814447  823 277 0700312 4 866 7 41323  9 48 0 1 9
58144  123 2777 07003124  8662 7 4123  9 48 0 15 9;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447  823 277 107003124 866 7 4123  9 48 0 1 49;5814447  823 277 0700312 4 866 7 41323  9 48 0 1 9;58144  123 2777 070031241  8662 7 4123  9 48 0 15 
58144  123 2777 07003124  8662 7 4123  9 48 0 15 9;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447  823 277 0700312 4 866 7 41323  9 48 0 1 9;58144  123 2777 070031241  8662 7 4123  9 48 0 15 ;58144  123 2777 407003124  8662 7 4123  9 48 0 15 
5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447  823 277 0700312 4 866 7 41323  9 48 0 1 9;58144  123 2777 070031241  8662 7 4123  9 48 0 15 ;58144  123 2777 407003124  8662 7 4123  9 48 0 15 ;5814447 8 823 277 070031241 8666 7123  9 48 0 1 9 
5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447  823 277 0700312 4 866 7 41323  9 48 0 1 9;58144  123 2777 070031241  8662 7 4123  9 48 0 15 ;58144  123 2777 407003124  8662 7 4123  9 48 0 15 ;5814447 8 823 277 0700831241 866 7 123  9 48 0 1 9
5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447  823 277 0700312 4 866 7 41323  9 48 0 1 9;58144  123 2777 070031241  8662 7 4123  9 48 0 15 ;5814447 8 823 277 0700831241 866 7 123  9 48 0 1 9;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 
5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;58144  123 2777 070031241  8662 7 4123  9 48 0 15 ;5814447 8 823 277 0700831241 866 7 123  9 48 0 1 9;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447 8 823 277 0700318241 866 7 123  9 48 0 1 9
5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447 8 823 277 0700831241 866 7 123  9 48 0 1 9;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447 8 823 277 0700318241 866 7 123  9 48 0 1 9;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 
5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447 8 823 277 0700318241 866 7 123  9 48 0 1 9;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 
5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447 8 823 277 0700318241 866 7 123  9 48 0 1 9;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;58114447 8 4823 277 070031241 866 7 123  9 4 0 1 9
5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;5814447 8 823 277 0700318241 866 7 123  9 48 0 1 9;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;58114447 8 4823 277 070031241 866 7 123  9 4 0 1 9;5814447 8 823 2777 070031241 1866 7 123  9 48 0 14
5814447 8 823 277 0700318241 866 7 123  9 48 0 1 9;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;58114447 8 4823 277 070031241 866 7 123  9 4 0 1 9;5814447 8 823 2777 070031241 1866 7 123  9 48 0 14;5814447 8 823 277 0700318241 866 7 123  9 48 0 1 9
5814447 8 823 277 0700318241 866 7 123  9 48 0 1 9;5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;58114447 8 4823 277 070031241 866 7 123  9 4 0 1 9;5814447 8 823 2777 070031241 1866 7 123  9 48 0 14;5814447 8 823 277 0700318241 866 7 123  9 48 0 1 9
5814447 8 823 277 070031241 866 7 123  9 48 0 1 9 ;58114447 8 4823 277 070031241 866 7 123  9 4 0 1 9;5814447 8 823 2777 070031241 1866 7 123  9 48 0 14;5814447 8 823 277 0700318241 866 7 123  9 48 0 1 9;58144478 823 277 070031241 866 7 123  9 48 0 1 9  
58114447 8 4823 277 070031241 866 7 123  9 4 0 1 9;5814447 8 823 2777 070031241 1866 7 123  9 48 0 14;5814447 8 823 277 0700318241 866 7 123  9 48 0 1 9;58144478 823 277 070031241 866 7 123  9 48 0 1 9  ;58114447 38 4823 277 0700312461 866 7 123  9 4 0 1
58114447 8 4823 277 070031241 866 7 123  9 4 0 1 9;5814447 8 823 2777 070031241 1866 7 123  9 48 0 14;58144478 823 277 070031241 866 7 123  9 48 0 1 9  ;58114447 38 4823 277 0700312461 866 7 123  9 4 0 1;58114447 8 4823 277 07003121 866  7 123  9 4 0 1 9
58114447 8 4823 277 070031241 866 7 123  9 4 0 1 9;5814447 8 823 2777 070031241 1866 7 123  9 48 0 14;58114447 38 4823 277 0700312461 866 7 123  9 4 0 1;58114447 8 4823 277 07003121 866  7 123  9 4 0 1 9;581144247 8 4823 277 070031241 866 7 123  9 34 0 1
5814447 8 823 2777 070031241 1866 7 123  9 48 0 14;58114447 38 4823 277 0700312461 866 7 123  9 4 0 1;58114447 8 4823 277 07003121 866  7 123  9 4 0 1 9;581144247 8 4823 277 070031241 866 7 123  9 34 0 1;5814447 8 8235 277 070031241 1866 7 123  9 48 0 14
58114447 38 4823 277 0700312461 866 7 123  9 4 0 1;58114447 8 4823 277 07003121 866  7 123  9 4 0 1 9;581144247 8 4823 277 070031241 866 7 123  9 34 0 1;5814447 8 8235 277 070031241 1866 7 123  9 48 0 14;5811447 8 4823277 0700312461 866 7 123  9 4 0 1   
58114447 8 4823 277 07003121 866  7 123  9 4 0 1 9;581144247 8 4823 277 070031241 866 7 123  9 34 0 1;5814447 8 8235 277 070031241 1866 7 123  9 48 0 14;5811447 8 4823277 0700312461 866 7 123  9 4 0 1   ;58114447 8 4823 277 07003121 866  7 123  9 4 0 1 9
58114447 8 4823 277 07003121 866  7 123  9 4 0 1 9;5814447 8 8235 277 070031241 1866 7 123  9 48 0 14;5811447 8 4823277 0700312461 866 7 123  9 4 0 1   ;58114447 8 4823 277 07003121 866  7 123  9 4 0 1 9;58114447 8 48233 277 07003121 866  7 123  9 4 0 1 
5814447 8 8235 277 070031241 1866 7 123  9 48 0 14;5811447 8 4823277 0700312461 866 7 123  9 4 0 1   ;58114447 8 4823 277 07003121 866  7 123  9 4 0 1 9;58114447 8 48233 277 07003121 866  7 123  9 4 0 1 ;5814447 8 8235 277 070031241 1866 7 123  9 48 0  1
5811447 8 4823277 0700312461 866 7 123  9 4 0 1   ;58114447 8 4823 277 07003121 866  7 123  9 4 0 1 9;58114447 8 48233 277 07003121 866  7 123  9 4 0 1 ;5814447 8 8235 277 070031241 1866 7 123  9 48 0  1;5811447  8 4823277 0700312461 866 7 123  9 4 0 1  
5811447 8 4823277 0700312461 866 7 123  9 4 0 1   ;58114447 8 48233 277 07003121 866  7 123  9 4 0 1 ;5814447 8 8235 277 070031241 1866 7 123  9 48 0  1;5811447  8 4823277 0700312461 866 7 123  9 4 0 1  ;5811447 8 4823277 0700 312461 866 7123  9 24 0 1  
5811447 8 4823277 0700312461 866 7 123  9 4 0 1   ;58114447 8 48233 277 07003121 866  7 123  9 4 0 1 ;5811447  8 4823277 0700312461 866 7 123  9 4 0 1  ;5811447 8 4823277 0700 312461 866 7123  9 24 0 1  ;5811447 8 4823277 0700312461 866 7 123  9 4 0 1   
5811447 8 4823277 0700312461 866 7 123  9 4 0 1   ;58114447 8 48233 277 07003121 866  7 123  9 4 0 1 ;5811447  8 4823277 0700312461 866 7 123  9 4 0 1  ;5811447 8 4823277 0700312461 866 7 123  9 4 0 1   ;5811447 8 48230277 070032461 866 7 123  9 4 0 1   
5811447 8 4823277 0700312461 866 7 123  9 4 0 1   ;58114447 8 48233 277 07003121 866  7 123  9 4 0 1 ;5811447 8 4823277 0700312461 866 7 123  9 4 0 1   ;5811447 8 48230277 070032461 866 7 123  9 4 0 1   ;58 11447 8 48232977 0700312461 866 7 123  9 4 0 1 
58114447 8 48233 277 07003121 866  7 123  9 4 0 1 ;5811447 8 4823277 0700312461 866 7 123  9 4 0 1   ;5811447 8 48230277 070032461 866 7 123  9 4 0 1   ;58 11447 8 48232977 0700312461 866 7 123  9 4 0 1 ;58114447 848233 277 07003121 866  7 123  9 4 0 1  
5811447 8 4823277 0700312461 866 7 123  9 4 0 1   ;5811447 8 48230277 070032461 866 7 123  9 4 0 1   ;58 11447 8 48232977 0700312461 866 7 123  9 4 0 1 ;58114447 848233 277 07003121 866  7 123  9 4 0 1  ;5811447 87 4823277 07003120461 866 7 123  9 4 0 1 
5811447 8 4823277 0700312461 866 7 123  9 4 0 1   ;5811447 8 48230277 070032461 866 7 123  9 4 0 1   ;58114447 848233 277 07003121 866  7 123  9 4 0 1  ;5811447 87 4823277 07003120461 866 7 123  9 4 0 1 ;5811447 8 4823277 070031261 866 7 123  9 4 0 1   7
5811447 8 48230277 070032461 866 7 123  9 4 0 1   ;58114447 848233 277 07003121 866  7 123  9 4 0 1  ;5811447 87 4823277 07003120461 866 7 123  9 4 0 1 ;5811447 8 4823277 070031261 866 7 123  9 4 0 1   7;5811447 8 48230277 70032461 866 7 123  9 4 0 1    
5811447 8 48230277 070032461 866 7 123  9 4 0 1   ;58114447 848233 277 07003121 866  7 123  9 4 0 1  ;5811447 8 4823277 070031261 866 7 123  9 4 0 1   7;5811447 8 48230277 70032461 866 7 123  9 4 0 1    ;5811447 8 48230277 070032461 866 7 123  9 4 0 1   
5811447 8 48230277 070032461 866 7 123  9 4 0 1   ;58114447 848233 277 07003121 866  7 123  9 4 0 1  ;5811447 8 48230277 70032461 866 7 123  9 4 0 1    ;5811447 8 48230277 070032461 866 7 123  9 4 0 1   ;5811447 8 482370277 070032461 866 7 123  9 4 0 1  
5811447 8 48230277 070032461 866 7 123  9 4 0 1   ;58114447 848233 277 07003121 866  7 123  9 4 0 1  ;5811447 8 48230277 70032461 866 7 123  9 4 0 1    ;5811447 8 482370277 070032461 866 7 123  9 4 0 1  ;5811447 8 487230277 070032461 866 7 123  9 4 0 1  
5811447 8 48230277 070032461 866 7 123  9 4 0 1   ;58114447 848233 277 07003121 866  7 123  9 4 0 1  ;5811447 8 482370277 070032461 866 7 123  9 4 0 1  ;5811447 8 487230277 070032461 866 7 123  9 4 0 1  ;5811447 8 48230277 070032461 8667 123  95 4 0 1   
5811447 8 48230277 070032461 866 7 123  9 4 0 1   ;58114447 848233 277 07003121 866  7 123  9 4 0 1  ;5811447 8 482370277 070032461 866 7 123  9 4 0 1  ;5811447 8 48230277 070032461 8667 123  95 4 0 1   ;58114479 8 48230277 070032461 866 7 123  9 4 05 1 
5811447 8 48230277 070032461 866 7 123  9 4 0 1   ;58114447 848233 277 07003121 866  7 123  9 4 0 1  ;5811447 8 48230277 070032461 8667 123  95 4 0 1   ;58114479 8 48230277 070032461 866 7 123  9 4 05 1 ;5811447 8 48230277 070032461 866 7 4123  9 4 06 1 
5811447 8 48230277 070032461 866 7 123  9 4 0 1   ;5811447 8 48230277 070032461 8667 123  95 4 0 1   ;58114479 8 48230277 070032461 866 7 123  9 4 05 1 ;5811447 8 48230277 070032461 866 7 4123  9 4 06 1 ;5811447 8 48230277 070032461 866 7 123  9 44 0 1  
5811447 8 48230277 070032461 8667 123  95 4 0 1   ;58114479 8 48230277 070032461 866 7 123  9 4 05 1 ;5811447 8 48230277 070032461 866 7 4123  9 4 06 1 ;5811447 8 48230277 070032461 866 7 123  9 44 0 1  ;5811447 8 48230277 07003 2461 8667 7123  95 4 0 1 
5811447 8 48230277 070032461 8667 123  95 4 0 1   ;5811447 8 48230277 070032461 866 7 4123  9 4 06 1 ;5811447 8 48230277 070032461 866 7 123  9 44 0 1  ;5811447 8 48230277 07003 2461 8667 7123  95 4 0 1 ;5811447 8 48230277 070032461 8667 123  95 4 0 1   
5811447 8 48230277 070032461 8667 123  95 4 0 1   ;5811447 8 48230277 070032461 866 7 123  9 44 0 1  ;5811447 8 48230277 07003 2461 8667 7123  95 4 0 1 ;5811447 8 48230277 070032461 8667 123  95 4 0 1   ;58114 47 8 4820277 070032461 8667 123  95 4 0 1   
5811447 8 48230277 070032461 866 7 123  9 44 0 1  ;5811447 8 48230277 07003 2461 8667 7123  95 4 0 1 ;5811447 8 48230277 070032461 8667 123  95 4 0 1   ;58114 47 8 4820277 070032461 8667 123  95 4 0 1   ;5811447 8 4 8230277 0700352461 866 7 123  9 444 0 
5811447 8 48230277 07003 2461 8667 7123  95 4 0 1 ;5811447 8 48230277 070032461 8667 123  95 4 0 1   ;58114 47 8 4820277 070032461 8667 123  95 4 0 1   ;5811447 8 4 8230277 0700352461 866 7 123  9 444 0 ;581447 8 482380277 07003 461 8667 7123  95 4 0 1  
5811447 8 48230277 07003 2461 8667 7123  95 4 0 1 ;5811447 8 48230277 070032461 8667 123  95 4 0 1   ;5811447 8 4 8230277 0700352461 866 7 123  9 444 0 ;581447 8 482380277 07003 461 8667 7123  95 4 0 1  ;5811447 8 48230277 07003 2461 8667 7123  95 4 0 1 
5811447 8 48230277 07003 2461 8667 7123  95 4 0 1 ;5811447 8 4 8230277 0700352461 866 7 123  9 444 0 ;581447 8 482380277 07003 461 8667 7123  95 4 0 1  ;5811447 8 48230277 07003 2461 8667 7123  95 4 0 1 ;5811447 8 4823 0277 07003 24618667 7123  951 4 0 1
5811447 8 4 8230277 0700352461 866 7 123  9 444 0 ;581447 8 482380277 07003 461 8667 7123  95 4 0 1  ;5811447 8 48230277 07003 2461 8667 7123  95 4 0 1 ;5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;58711447 8 4 8230277 0700352461 866 7 123  9 444 0
5811447 8 4 8230277 0700352461 866 7 123  9 444 0 ;5811447 8 48230277 07003 2461 8667 7123  95 4 0 1 ;5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;58711447 8 4 8230277 0700352461 866 7 123  9 444 0;58111447 8 4 823027 0700352461 866 7 123  9 444 0 
5811447 8 4 8230277 0700352461 866 7 123  9 444 0 ;5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;58711447 8 4 8230277 0700352461 866 7 123  9 444 0;58111447 8 4 823027 0700352461 866 7 123  9 444 0 ;58114476 8 4 8230277 0700352461 866 7 123  9 444 0
5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;58711447 8 4 8230277 0700352461 866 7 123  9 444 0;58111447 8 4 823027 0700352461 866 7 123  9 444 0 ;58114476 8 4 8230277 0700352461 866 7 123  9 444 0;5811447 8 48235 0277 07003 24618667 7123  9951 4 0
5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;58111447 8 4 823027 0700352461 866 7 123  9 444 0 ;58114476 8 4 8230277 0700352461 866 7 123  9 444 0;5811447 8 48235 0277 07003 24618667 7123  9951 4 0;5811447 8 4823 0277 07003 24618667 7123  951 4 0 1
5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;58111447 8 4 823027 0700352461 866 7 123  9 444 0 ;5811447 8 48235 0277 07003 24618667 7123  9951 4 0;5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;5811447 8 4823 0277 07003 24618667 7123   951 4 0 
5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;5811447 8 48235 0277 07003 24618667 7123  9951 4 0;5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;5811447 8 4823 0277 07003 24618667 7123   951 4 0 ;5811447 8 4823 0277 070503 24618667 7123  951 74 0
5811447 8 48235 0277 07003 24618667 7123  9951 4 0;5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;5811447 8 4823 0277 07003 24618667 7123   951 4 0 ;5811447 8 4823 0277 070503 24618667 7123  951 74 0;5811447 8 48235 03277 070083 24618667 7123  9951 4
5811447 8 48235 0277 07003 24618667 7123  9951 4 0;5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;5811447 8 4823 0277 070503 24618667 7123  951 74 0;5811447 8 48235 03277 070083 24618667 7123  9951 4;5811447 88 48235 0277 07003 24618667 7123 2 9951 4
5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;5811447 8 4823 0277 070503 24618667 7123  951 74 0;5811447 8 48235 03277 070083 24618667 7123  9951 4;5811447 88 48235 0277 07003 24618667 7123 2 9951 4;5811447 8 4823 0277 07003 24618667 7123  951 4 0 1
5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;5811447 8 4823 0277 070503 24618667 7123  951 74 0;5811447 8 48235 03277 070083 24618667 7123  9951 4;5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;58111447 8 4823 0277 070003 246818667 7123  951 4 
5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;5811447 8 4823 0277 070503 24618667 7123  951 74 0;5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;58111447 8 4823 0277 070003 246818667 7123  951 4 ;581447 8 4823 0277 07003 24618667 7123  951 4 0 1 
5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;58111447 8 4823 0277 070003 246818667 7123  951 4 ;581447 8 4823 0277 07003 24618667 7123  951 4 0 1 ;5811447 8 4823 0277 07003 2468667 7123  9551 4 0 1
5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;58111447 8 4823 0277 070003 246818667 7123  951 4 ;581447 8 4823 0277 07003 24618667 7123  951 4 0 1 ;5811447 8 4823 0277 07003 2468667 7123  9551 4 0 1;5811447  8 4823 0277 07003 24618667 7123  951 4 0 
5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;58111447 8 4823 0277 070003 246818667 7123  951 4 ;5811447 8 4823 0277 07003 2468667 7123  9551 4 0 1;5811447  8 4823 0277 07003 24618667 7123  951 4 0 ;5811447 4823 0277 07003 24618667 7123  951 4 0 1  
5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;58111447 8 4823 0277 070003 246818667 7123  951 4 ;5811447 8 4823 0277 07003 2468667 7123  9551 4 0 1;5811447 4823 0277 07003 24618667 7123  951 4 0 1  ;5811447 8 4823 202 77 07003 24618667 7123  951 4 0
5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;58111447 8 4823 0277 070003 246818667 7123  951 4 ;5811447 8 4823 0277 07003 2468667 7123  9551 4 0 1;5811447 8 4823 202 77 07003 24618667 7123  951 4 0;5811447 8 4823 027 07003 2496186672 7123  951 4 0 
5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;58111447 8 4823 0277 070003 246818667 7123  951 4 ;5811447 8 4823 202 77 07003 24618667 7123  951 4 0;5811447 8 4823 027 07003 2496186672 7123  951 4 0 ;5811447 8 4823 0277 07003 24618667 7123  951 4 0 1
5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;58111447 8 4823 0277 070003 246818667 7123  951 4 ;5811447 8 4823 202 77 07003 24618667 7123  951 4 0;5811447 8 4823 0277 07003 24618667 7123  951 4 0 1;58114847 8 4823 0277 07003 24618667 7123  951 4 0 
