2;2                                  0              
2;2                                  0              ;2                                                 
2;2                                  0              ;2                                                 ;2                    7                           5
2;2                                  0              ;2                                                 ;2                    7                           5
82   70                        6 4         0      ;82   70                        0 6 4         0    ;82  0         9                  6 4         0    ;82  0        0  9                 6 4         0   ;82   70                        6 4          0     
82   70                        6 4         0      ;82  0         9                  6 4         0    ;82  0        0  9                 6 4         0   ;82   70                        6 4          0     ;82   705    1                    6 4         0    
82   70                        6 4         0      ;82  0         9                  6 4         0    ;82   70                        6 4          0     ;82   705    1                    6 4         0    ;82   70                         6 4         0     
82   70                        6 4         0      ;82  0         9                  6 4         0    ;82   70                        6 4          0     ;82   70                         6 4         0     ;82   70                         6 4         0     
82   70                        6 4         0      ;82   70                        6 4          0     ;82   70                         6 4         0     ;82   70                         6 4         0     ;82   70                      6 4         0        
82   70                        6 4          0     ;82   70                         6 4         0     ;82   70                         6 4         0     ;82   70                      6 4         0        ;82   70                        6 4           0    
82   70                         6 4         0     ;82   70                         6 4         0     ;82   70                      6 4         0        ;82   70                        6 4           0    ;82   70                        6 4        0       
82   70                         6 4         0     ;82   70                      6 4         0        ;82   70                        6 4           0    ;82   70                        6 4        0       ;82   70            8             6 4         0    
82   70                         6 4         0     ;82   70                        6 4           0    ;82   70                        6 4        0       ;82   70            8             6 4         0    ;82   70           4              6 4         0    
82   70                        6 4           0    ;82   70                        6 4        0       ;82   70            8             6 4         0    ;82   70           4              6 4         0    
82   70                        6 4           0    ;82   70                        6 4        0       ;82   70            8             6 4         0    ;82   70           4              6 4         0    ;82   70                       6 4           20    
82   70                        6 4           0    ;82   70                        6 4        0       ;82   70            8             6 4         0    ;82   70                       6 4           20    ;82   570                       8 6 4           0  
82   70                        6 4           0    ;82   70            8             6 4         0    ;82   70                       6 4           20    ;82   570                       8 6 4           0  ;82   70                       6 4           0   3 
82   70                        6 4           0    ;82   70            8             6 4         0    ;82   570                       8 6 4           0  ;82   70                       6 4           0   3 ;82     70      9                  6 4           0 
82   70                        6 4           0    ;82   70            8             6 4         0    ;82   70                       6 4           0   3 ;82     70      9                  6 4           0 ;82   70    1                  9  6 4           0  
82   70                        6 4           0    ;82   70            8             6 4         0    ;82   70                       6 4           0   3 ;82   70    1                  9  6 4           0  ;82   70                       46            0     
82   70            8             6 4         0    ;82   70                       6 4           0   3 ;82   70    1                  9  6 4           0  ;82   70                       46            0     ;82   70            8             6 4        07    
82   70            8             6 4         0    ;82   70                       6 4           0   3 ;82   70                       46            0     ;82   70            8             6 4        07    ;82   700            8             6 4         0   
82   70                       6 4           0   3 ;82   70                       46            0     ;82   70            8             6 4        07    ;82   700            8             6 4         0   ;82   70                        6 4           0   3
82   70                       46            0     ;82   70            8             6 4        07    ;82   700            8             6 4         0   ;82   70                        6 4           0   3;82   70                      46             0   6 
82   70                       46            0     ;82   700            8             6 4         0   ;82   70                        6 4           0   3;82   70                      46             0   6 ;82   70                       46          5  0    
82   700            8             6 4         0   ;82   70                        6 4           0   3;82   70                      46             0   6 ;82   70                       46          5  0    ;82   700           8             76 4         0   
82   700            8             6 4         0   ;82   70                      46             0   6 ;82   70                       46          5  0    ;82   700           8             76 4         0   ;82   700            8             6 4         0   
