;;
    3                                             ;                                         6        ;    3                                             
       1                                          ;    3                                             ;    3                                             
                                                  ;    3                                             ;    3                                             
    33          3        3  69                   2;    339                3       9 4 0              ;    339                3       9 4 0              
    33        3        3       9  0               ;    33 3                3       9   0           2 ;    33 3                3       9   0           2 
    33 3                34       9  0        3    ;    33 3            8    3      9  9  0           ;    33 3            8    3      9  9  0           
    33 3            8    33      9  9  0          ;    33    3              7                2     1 ;    33    3              7                2     1 
    33   2 3              7                2     1;    33   2 3         1     7                 2    ;    33   2 3              7                2     1
    33   2 3 5 0           7                 2    ;   33  2       7       3 8               2        ;   33  2       7       3 8               2        
  6  33  2       7       3                2       ;    33               1  3  6           3       4 2;    33               1  3  6           3       4 2
    633               1  3  6           3        2;   33                 63  6           3        2  ;   33                 63  6           3        2  
  7 33                 63  6           3        2 ;    33         3         3 2 69        8        5 ;  7 33                 63  6           3        2 
    33         3       3 2 6        8             ;    339              5  3       9 4 0             ;    339              5  3       9 4 0             
    339         8              9 4 0              ;    33 3                3        9   00           ;    339         8              9 4 0              
     33 3                3       9   0          2 ;    33 3           8    3      9  9  0            ;    33 3           8    3      9  9  0            
    33 3            8          9  9  0            ;    3    3              7               2     1   ;    33 3            8          9  9  0            
    33    3               7         5       2     ;    33  2 3               7                2     1;    33    3               7         5       2     
   1 33 7  2 3              7                2    ;   33  2       7        3 8               2       ;   33  2       7        3 8               2       
   33  2       7    1    3 8               72     ;    33               1 3  86           3       4 2;   33  2       7    1    3 8               72     
    33               1  3  6             3      1 ;   33     9            63  6          3        2  ;    33               1  3  6             3      1 
   33                 63  6            3        2 ;  7 33               8  63  6     8      3        ;   33                 63  6            3        2 
   7 33                 63  6  1         3        ;    339              5  3        9 4 0            ;    339              5  3        9 4 0            
    339           0   5  3       9 4 0            ;    339         18              9 4 0             ;    339         18              9 4 0             
    3394         89            1  9 4 0           ;    332 3           8     3      9  9  0          ;    332 3           8     3      9  9  0          
    33 3           8    3      9  9  0            ;    33 3            8          9  9 0 0           ;    33 3           8    3      9  9  0            
    33 3            8          9  9  0            ;    33    3              7         35       2     ;    33    3              7         35       2     
    333    3               7         5       2    ;   33  2       7      9  3 8              2       ;   33  2       7      9  3 8              2       
   33  2                3 8               2       ;   33  2       7   1    3 8               72      ;   33  2                3 8               2       
   33  2       7    1    3 8              0 72   6;    33            7  1  3  6             3      1 ;    33            7  1  3  6             3      1 
    33          7    1  3  6             3      1 ;   33                 63  6            3      2   ;   33                 63  6            3      2   
   33                63  6            03        2 ;    339              5  3        9 4 0            ;    339              5  3        9 4 0            
    339              5  3       9 4 0             ;    339        8 18               9 4 0           ;    339              5  3       9 4 0             
