;;2   66
2   66 2 74 7  9    9        4             4      ;2   66 52 74 7        5                   4       ;2   66 2 74 7  9    9        4             4      
2   66 52 74 7                           4      4 ;2   666 2   7 6 9  8  2 6                         ;2   66 52 74 7                           4      4 
2   666    7 6 9  8  2 6               87 9       ;2   66    7 6 9     46            9               ;2   66    7 6 9     46            9               
2   66    7 6 9     246            9  9           ;2 31    626     0    4          9 6        6     8;2 31    626     0    4          9 6        6     8
2 31    626     0               6  02       6     ;2 31     626     0  4            6         6      ;2 31    626     0               6  02       6     
2 321   6626     0              6        6        ;231    66     0    9            6       6         ;231    66     0    9            6       6         
231    66     0    9            6   8     6       ;231  5   866            8    3    6  2       6    ;231  5   866            8    3    6  2       6    
231  5   866            8    3  0  6  2      6    ;2   3666      5 81     9                     0    ;231  5   866            8    3  0  6  2      6    
2   3666      5 8     9                  5   0    ;2   3666      5 8     9  0                  05    ;2   3666      5 8     9  0                  05    
2   366 6      5 8     9  0                   05  ;2   66 2 74 7  9    9        4  0           4     ;2   366 6      5 8     9  0                   05  
2   66 24 74 7  9    9        4             4     ;2 9  66 52 74 7              5              4     ;2   66 24 74 7  9    9        4             4     
2   66  52 74 7                            4      ;2   66    7 6 9     46             9              ;2   66  52 74 7                            4      
2   66    7 6 9     46             9              ;2 31    626     0    4          9 6        6      ;2   66    7 6 9     46             9              
2 31    626     0    4          9 6        6     8;2 31    626     0          9     6  02       6    ;2 31    626     0          9     6  02       6    
2 31    626     0               6  02       6     ;231    66     0    9            6     3  6        ;2 31    626     0               6  02       6     
231    66     0    9          5  6       6   7    ;231  5   8665           8    3    6  2       65   ;231  5   8665           8    3    6  2       65   
2301  5   866   2         8    3    6  2       6  ;231  5   866            8    3  0  6  2  7    6   ;2301  5   866   2         8    3    6  2       6  
231  5    866            8    3  0  6  2  0    6  ;2   3666     7 5 8     9  0                  05   ;231  5    866            8    3  0  6  2  0    6  
2  7 3666      5 8     9  0                  05   ;2   366 6      5 8     94  0                   05 ;2  7 3666      5 8     9  0                  05   
2   366 6     5 8     9  0                   05   ;2   66 24 74 7  9 3   9        4             4    ;2   366 6     5 8     9  0                   05   
2   66 24 74 7  9    9        4        4    6 4   ;2   66  52 74 7                              4    ;2   66  52 74 7                              4    
2   66  52 74 77               8             4    ;2   66    7 6 9     946             9             ;2   66    7 6 9     946             9             
2   663    7 6 9     46             9 2           ;2 31    626     0     0     9     6  02       6   ;2 31    626     0     0     9     6  02       6   
2 31    626     0          9     6  02       6    ;2 31    6626     0               6  02       6    ;2 31    626     0          9     6  02       6    
