;;2   66
276015 7 13   560 967 285 3 3 9  2   327 4   1444 ;4452701 1132283 9 8  6    369651286960    26  220 ;276015 7 13   560 967 285 3 3 9  2   327 4   1444 
452701 1132283 9 8  6    36961286960    26  20  4 ;2270115 13  5  6 7 91652863699 46    9 2   8  47  ;2270115 13  5  6 7 91652863699 46    9 2   8  47  
2270115 813  5  60 7 9165286369 46    9 2   8  47 ;277 015 713  56  6  91652866 946    6926     8 947;2270115 813  5  60 7 9165286369 46    9 2   8  47 
277 015  13  56  6  91652866 946    6926     8 947;277 015 13  5  6  91652866 946    69926    8 947  ;277 015  13  56  6  91652866 946    6926     8 947
277015 13  5  6  91652866 946  1  6926     947    ; 2701 1 3   526  6  9965286966 7   92   2 847  53 ;277015 13  5  6  91652866 946  1  6926     947    
 2701 13   526  46  996526966   92   2 847  53    ;2701 7813   526  6   965 286966     92   5 847  3 ;2701 7813   526  6   965 286966     92   5 847  3 
2701 78133   526  6  965 286966     92   5 847  3 ;27015  7 13   6456   67285 3 3 9  28    2 844   44;27015  7 13   6456   67285 3 3 9  28    2 844   44
27015 97 13   656   967285 3 3 9  28    2 844   44;27015 7 13   656   967285 3 34 9  28    2 844   44;27015 7 13   656   967285 3 34 9  28    2 844   44
27015 7 13   656   967285 3 34 9  28   2 844   44 ; 27015 7 13   656   967285 3 3 9   28    2 44   44; 27015 7 13   656   967285 3 3 9   28    2 44   44
 27015 7 13   656   7967285 3 3 9  28    2 44   44;276015 7 13    560 967 285 3 3 9  2  327 4   1444 ;276015 7 13    560 967 285 3 3 9  2  327 4   1444 
276015 7 13   560 97 285 3 3 9  2   327 4   1444  ;2270115 13  5  6 7 91652863699 46    98 2   8  47 ;276015 7 13   560 97 285 3 3 9  2   327 4   1444  
2270115 13  5  6 7 91652863699 46   9    8  47    ;2270115 813  5  60 7 98165286369 46    9 92   68  ;2270115 813  5  60 7 98165286369 46    9 92   68  
2270115 813 6 5  60 7 91652863969 46    9 2   8  4;277 015  13  56  6  91652866 946    626     8 947 ;2270115 813 6 5  60 7 91652863969 46    9 2   8  4
277 015  13  56  6  91652866 946    6926     8 947;2770155 13  5  6  91652866 946  1  6926     947   ;2770155 13  5  6  91652866 946  1  6926     947   
2777015 13  5   6  91652866 946  1  6926     947  ;2701 7813   526 6   965 286966     92    5 847  3 ;2701 7813   526 6   965 286966     92    5 847  3 
2701 7813   526  6   9965 286966     92   5  847  ;27015  7 133   6456   67285 3 3 9  28    2 8044   ;2701 7813   526  6   9965 286966     92   5  847  
27015  713 6  6456   6785 3 3 9  28    2 844   44 ;27015 7 13   656   967285 3 34 9  28    2 844   44;27015 7 13   656   967285 3 34 9  28    2 844   44
27015 7 13   656 7  967285 3 34 9  28    2 844   4; 27015 7 13   65 6   967285 3 3 9   28    2 44   4; 27015 7 13   65 6   967285 3 3 9   28    2 44   4
27015 7 13   656   967285 3 3 9   28    2 44   44 ;276015 7 131    560 967 285 3 3 9  2  327 41   144;27015 7 13   656   967285 3 3 9   28    2 44   44 
276015 7 13    560 967 285 3 3 9  2  327 4   1444 ;276015 7 13   5 60 97 285 3 3 9  2   327 4  6 1444;276015 7 13   5 60 97 285 3 3 9  2   327 4  6 1444
276015 7 13   560 97 285 3 3 9  2   327 4   1444  ;2270115 813   5  60 7 98165286369 46    9 92   68 ;2270115 813   5  60 7 98165286369 46    9 92   68 
2270115 813  5  60 7 981 65286369 46    9 92  68  ;2270115 813 6 85  60 7 91652863969 46     9 2   8 ;2270115 813  5  60 7 981 65286369 46    9 92  68  
2270115 813 6 5  60 77 91652863969 46   9 2   8  4;2770155 13  5  6  91652866 946  1  692     947    ;2270115 813 6 5  60 77 91652863969 46   9 2   8  4
27701555 13 8 5  6  91652866 946  1  6926     947 ;2701 7813   526 6   965 2486966     792    5 847  ;2701 7813   526 6   965 2486966     792    5 847  
23701 7813   526 6   965 286966    92    5 847  3 ;2701 7813   526  63   99635 286966     92   5  847;2701 7813   526  63   99635 286966     92   5  847
2701 7813   526  62   9965 286966     92   54  847;270157 13   6156   967285 3 34 9  28    2 844   44;2701 7813   526  62   9965 286966     92   54  847
27015 7 13   656   967285  34 9  28    2 8494   44; 27015 37 13   65 6   96 7285 3 3 9   28    2 44  ;27015 7 13   656   967285  34 9  28    2 8494   44
 27015 7 13   65 6   967285 3 3 9   28    2 44   4;27015 7 13   656   967285 3 3 9   2    2 44   44  ; 27015 7 13   65 6   967285 3 3 9   28    2 44   4
270115  7 13   656   967285 3 3 9   28    2 44   4;6276015 7 13   5 60 97 285 3 3 9  2   327 4   6 14;270115  7 13   656   967285 3 3 9   28    2 44   4
276015 7 13   5 60 97 285 3 3 9  2   327 4  6 1444;2270115 813   5  60 7 98165286369 46    9 92  68  ;2270115 813   5  60 7 98165286369 46    9 92  68  
2270115 813   5  60 7 498165286369 46    9 92   68;2270115 813  5  60 7981 652856369 46    9 92  68  ;2270115 813  5  60 7981 652856369 46    9 92  68  
22701158 813  5  60 7 981 65286369 46    9 9 2  68;2270115 813 6 5  60 7 91652863969 46   9 2   8  4 ;22701158 813  5  60 7 981 65286369 46    9 9 2  68
2270115 813 6 5  60 77 919652863969 46  9 2   8  4;2701 7813   526 6   965 2486966     792    5 4847 ;2701 7813   526 6   965 2486966     792    5 4847 
27901 7813   526  6   965 24856966     792    5 84;72701 7813   526  63   99635 2869667     92   5  8;72701 7813   526  63   99635 2869667     92   5  8
2701 7813   526  63   99635 286966     92   5  87 ;2701 7813   526  62   9965 286966     92   54  284;2701 7813   526  63   99635 286966     92   5  87 
270 7813   526  62    9965 286966     92   54  847;27015 7 13   656   967285  34 9  28    2 8494   44;27015 7 13   656   967285  34 9  28    2 8494   44
27015 7 13    656   967285  34 9  28    2 8494   4; 27015 7 13  0 65 6   967285 3 3 9   28    2 44   ; 27015 7 13  0 65 6   967285 3 3 9   28    2 44   
 27015 7 13   65 6   967285 3 3 9   28     2 44   ;27 0115  7 13   656   967285 3 3 9   228    2 44  ; 27015 7 13   65 6   967285 3 3 9   28     2 44   
270115  7 13   656   967285 3 3 9   28  2  2 44   ;22270115 813   5  60 7 98165286369 46    9 92  68 ;270115  7 13   656   967285 3 3 9   28  2  2 44   
2270115 813   5  60 7 9816528669 46 5   89 92  68 ;2270115 813  5   60 7981 652856369  46    9 92  68;2270115 813   5  60 7 9816528669 46 5   89 92  68 
2270115 813  5  60 7981 652856369 46    9 92  668 ;22701158 813  5  606 71 981 65286369 46    9 9 2  ;2270115 813  5  60 7981 652856369 46    9 92  668 
22701158 813  5  60 7 981 652863069 46    9 9 2  6;2701 7813   526 6   965 2486966     792    5 48477;2701 7813   526 6   965 2486966     792    5 48477
2701 7813   526 6   965 2486966     792    5 4847 ;72701 7813  526  63   99635 2869667     92   5  8 ;2701 7813   526 6   965 2486966     792    5 4847 
72701 7813   526  63   99635 2869 667     92   5  ;2701 78713   526  63   99635 286966     92   5  87;72701 7813   526  63   99635 2869 667     92   5  
2701 7813   526  63   99635 286966     92   5 0 87;27015 7 13   656   967285  34 9  248    2 8494   4;2701 7813   526  63   99635 286966     92   5 0 87
27015 7 13   56   967285  34 9  28    2 8494   44 ; 27015 7 13  0 65 6   967285 3 3 9   28    2 44 9 ; 27015 7 13  0 65 6   967285 3 3 9   28    2 44 9 
 27015 7 13  0 65 6   967285 3 3 9    28    2 44  ; 270154 7 13   65 6 4  967285 3 3 9   28     2 44 ; 270154 7 13   65 6 4  967285 3 3 9   28     2 44 
 27015 7 13   65 6   9672805 3 3 9   28      2 44 ;270115  7 13   656   967285 3 3 9   28  2  2 44   ;270115  7 13   656   967285 3 3 9   28  2  2 44   
270115   7 13   656   967285 3 3 9   28  2  2 44  ;22701135 813   5  60 74 9816528669 46 5   89 92  6;270115   7 13   656   967285 3 3 9   28  2  2 44  
2270115 813   5  60 7 98165286689 46 5    89 92  6;2270115 813  5  60 7981 6552856369 46    9 92   66;2270115 813  5  60 7981 6552856369 46    9 92   66
2270115 813  5  60 7981 6528556369 46    9 92  668;27081 7813   526 6   65 2486966      792    5 4847;27081 7813   526 6   65 2486966      792    5 4847
27 01 7813   526 6  965 2486966     7923    5 4847;2701 47813    526 6   965 2486966     792    5 484;2701 47813    526 6   965 2486966     792    5 484
2701 7813   526 6   95 2486966     792    5 48475 ;72701 7813   526  63   99635 2869 667     92   5  ;2701 7813   526 6   95 2486966     792    5 48475 
727701 7813   526  63   99635 2869 6657     92   5;2701 7813   526  63   99635 286966     92   5 0 87;2701 7813   526  63   99635 286966     92   5 0 87
2701 7813   526  63   99635 2869656     92   5 0 8; 27015 7 13  0 65 6   3967285 3 3 9   28    2 44 6;2701 7813   526  63   99635 2869656     92   5 0 8
 27015 7 13  0 65 6   967285 3  3 9   28    2 44 9; 270154 7 13   65 6 4  96785 3 3 9   28     2 44  ; 27015 7 13  0 65 6   967285 3  3 9   28    2 44 9
 270154 7 13   65 6 4  967285 3 3 9   28     2 44 ;270115  7 13    656   967285 3 3 9   28  2  2 44  ;270115  7 13    656   967285 3 3 9   28  2  2 44  
270115  7 13   6356  967285 53 3 9   28  2  2 44  ;270115   7 13   656   967285 3 3 9   28  2 3 2 44 ;270115   7 13   656   967285 3 3 9   28  2 3 2 44 
270115   713   656   967285 3 3 9   28  2  2 44   ;2270115 813  5  60 791 65528506369 46     9 92   6;2270115 813  5  60 791 65528506369 46     9 92   6
2270115 813  5  60 7981 6552856369 46    9 992   6;27081 77813   526 6   65 2486966      7992    5 48;2270115 813  5  60 7981 6552856369 46    9 992   6
27081 7813   526 6   65248666      792    5 4847  ;2701 47813    526 6    965 2486966      792    5 4;27081 7813   526 6   65248666      792    5 4847  
27011 47813    526 6   965 2486966     792    5 48;2701 7813   526 6   95 2486966     7592    5 48475;27011 47813    526 6   965 2486966     792    5 48
2701 7813   526 6   95 2486966      792    5 48475;2701 17813   526  63   99635 286966     92   5 0 8;2701 17813   526  63   99635 286966     92   5 0 8
2701 78183   526  63   99635 286966     92   5 05 ;2701 7813   526  63   99635 72869656    922   5 0 ;2701 7813   526  63   99635 72869656    922   5 0 
2701 7813   526  63   99635 2869656     92    0 8 ; 27015 7 13  0 65 6     967285 3  3 9   28    2 44; 27015 7 13  0 65 6     967285 3  3 9   28    2 44
 27015 7 13  0 65 69   967285 3  3 9   28    22 44;270115  7 13    656   96725 3 3 9   28  2  2  44  ; 27015 7 13  0 65 69   967285 3  3 9   28    22 44
270115  7 13    656   967285 3 3 9   8  2  27 44  ;270115   7 13   65 6   3967285 3 3 9   28  2 3 2 4;270115   7 13   65 6   3967285 3 3 9   28  2 3 2 4
270115   7 13   656 44  967 285 3 3 9   28  2 3 2 ;2270115 813  5  60 791 65528506369 46     99 92   ;2270115 813  5  60 791 65528506369 46     99 92   
2270115  813  5  60 791 65528506369 46     9 925  ;2270115 813  59  60 7981 655 2856369 46    9 992  ;2270115  813  5  60 791 65528506369 46     9 925  
2270115 813  5  60 7981 6552856369 46    9 992   6;27081 7813   526 6   65248666      792    5 847   ;27081 7813   526 6   65248666      792    5 847   
27081 7813   526 6   665248666     792    5 4847  ;27011 4781 3    526 6   965 2486966     792   5 48;27011 4781 3    526 6   965 2486966     792   5 48
27011 47813    526 6   965 24869266     792    5 4;2701 17813   526  63 2  99635 286966     92   5 0 ;2701 17813   526  63 2  99635 286966     92   5 0 
2701 17813   526  63   9963 286966      92   5 0 8;2701 78133   526  63   99635 772869 656    922   5;2701 78133   526  63   99635 772869 656    922   5
2701 7813   526  163   99635 742869656    92   5 0; 27015 7 13  0 65 6    967285 3  3 9  15 28    2 4;2701 7813   526  163   99635 742869656    92   5 0
 27015 7 13  0 65 6     967285 3  3 9   288    2 4; 27015 7 13  0 65 69   967285 3  3 9   28    22 44; 27015 7 13  0 65 6     967285 3  3 9   288    2 4
 27015 7 13  0 65 69   967285 3  3  9   28    221 ;270115   7 13   65 6   3967285 3 3 9    28  2 3 2 ; 27015 7 13  0 65 69   967285 3  3  9   28    221 
270115   37 13   65 69   3967285 3 3 9   2 8  2 3 ;270115 813  5  60 791 655328506369 46     99 92   ;270115   37 13   65 69   3967285 3 3 9   2 8  2 3 
2270115  813  5  60 791 65528506369 46     99 92  ;2270115  813  5  60 791 655285063695 46      925  ;2270115  813  5  60 791 655285063695 46      925  
2270115  813  5  60 791 65528506369  46     9 925 ;27081 7813   526 6   652486966      7492    5 847 ;27081 7813   526 6   652486966      7492    5 847 
27081 7813   526 86   65248666      792    5 847  ;27011 4781 3    526 6   965 2486966     7929   5 4;27011 4781 3    526 6   965 2486966     7929   5 4
27011 4781 3    526 6   965 2486966     792   5 48;27401 17813   526  63 2  99635 286966     92   5 0;27011 4781 3    526 6   965 2486966     792   5 48
2701 781 3   526  63 2  99635 286966     92   5 0 ;2701 78133   5260  63   99635 772869 656    922   ;2701 78133   5260  63   99635 772869 656    922   
27701 78133   526  63   99635 772869 656    922   ;27 01 7813   526  163   99635 742869656 3   92   5;27701 78133   526  63   99635 772869 656    922   
2701 7813   526  163   99635 7428696568    992  5 ; 27015 7 13  0  65 6     967285 3  3 9   288    2 ;2701 7813   526  163   99635 7428696568    992  5 
 27015 7 13  0 65 6     962285 3  3 9   288    2 4; 27015 7 13  0 65 9   967285 3  3  9   28    221  ; 27015 7 13  0 65 6     962285 3  3 9   288    2 4
 27015 7 13 0 65 69   967285 3  3  9   28    221  ;2701 15   37 13   65 69   3967285 35 3 9   2 8  2 ;2701 15   37 13   65 69   3967285 35 3 9   2 8  2 
270115   37 13   65 69   3967285 3 33 9 1  2 8  2 ;2270115  813  5  60 91 655285063695 46      9 25  ;270115   37 13   65 69   3967285 3 33 9 1  2 8  2 
2270115  8213  5  60 791 655285063695 46      925 ;27081 7813   526 6   652486966 3     77492    5 84;27081 7813   526 6   652486966 3     77492    5 84
27 081 7813   526 6   652486966    4  7492    5 84;27011 4781 3    526 6   965 2486966   9  7929   5 ;27011 4781 3    526 6   965 2486966   9  7929   5 
27011 4781 3    526 6   965 24686966     7929   5 ;27011 4781 3    526 6   965 24869664     792   65 ;27011 4781 3    526 6   965 24869664     792   65 
270112 4781 3    526 6   965 2486966  6  792   5 4;2701 78133   5260  63   99635 772869 656    922   ;2701 78133   5260  63   99635 772869 656    922   
2701 78133   5260  63   99635 772869 656    922   ;27701 78133   526 3 63   99635 772869 656    922  ;2701 78133   5260  63   99635 772869 656    922   
27701 78133   526  63 0  99635 772869 656    922  ;2701 781   526  163   99635 7428696568   992  5   ;2701 781   526  163   99635 7428696568   992  5   
2701 7813   526  163   99635 7428696568 4   992  5; 27015 7 13  0 65 6     962285 3  3 9   288    7 2;2701 7813   526  163   99635 7428696568 4   992  5
 27015 7 13  0 65 6     962285 3  3 9   288     2 ;2701 15   37 813   65 69   3967285 35 3 9   2 8  2; 27015 7 13  0 65 6     962285 3  3 9   288     2 
2701 15   37 13   65 69   3967285 35 3 9   2 8  2 ;27011   37 13   65 69   3967285 3 33 9 1  2 8  42 ;27011   37 13   65 69   3967285 3 33 9 1  2 8  42 
270115   37 136   65 69   3967285 3 33 91  2 8  2 ;7081 7813   526 6   652486966 3     77492    5 84 ;7081 7813   526 6   652486966 3     77492    5 84 
27081 7813   526 6   652486966 3     7492    5 84 ;27011 4781 3    526 6   965 2486966   9  27929  5 ;27081 7813   526 6   652486966 3     7492    5 84 
27011 40781 3    526 6   965 246966   9  7929   5 ;27011 4781 3    526 6   965 24869664     792   765;27011 40781 3    526 6   965 246966   9  7929   5 
27011 4781 3    5276 6   965 24869664     792 7  6;27041 78133   5260  63   99635 772869 656    922  ;27011 4781 3    5276 6   965 24869664     792 7  6
2701 78133   5260  63   9635 772869  656    922   ;2701 78133   5260  163   992635 772869 656    922 ;2701 78133   5260  63   9635 772869  656    922   
2701 78133   5260  63   9963 772869 656    922    ;2701 781   526  163 20  99635 7428696568   992  45;2701 78133   5260  63   9963 772869 656    922    
27001 781   526  163   99635 74286965638   992  5 ;2701 7813   526  163   99635 74128696568 4   992  ;27001 781   526  163   99635 74286965638   992  5 
2701 47813   526  163   9635 7428696568 4   992  5; 27015 7 13  0 65 6     962285 3  3 9   28     2  ;2701 47813   526  163   9635 7428696568 4   992  5
 27015 7 13  0  65 6     962285 3  3 9   288     2;27011   37 13   65 69   3967285 3 33 9 18  2 8  42; 27015 7 13  0  65 6     962285 3  3 9   288     2
27011   37 13   65 69   3967285 3 3435 9 1  2 88  ;7081 7813    526 6   652486966 3     477492    5 8;27011   37 13   65 69   3967285 3 3435 9 1  2 88  
7081 7813   526 6   652486966 3     7492     5 84 ;27081 7813   526 6   652486966 3     7492     84  ;7081 7813   526 6   652486966 3     7492     5 84 
27081 7813   526 6  652486966 3     7492    5  84 ;27011 40781 3    526 6   9657246966   9  7929   5 ;27011 40781 3    526 6   9657246966   9  7929   5 
27011 40781 3    526 6   965 246966   9  7929   5 ;227011 4781 3    5276 6   965 24869664     792 7  ;27011 40781 3    526 6   965 246966   9  7929   5 
27011 4781 3    52756 6   965 24869664     792 7  ;2701 78133   5260  63   9635 772869  656    922   ;27011 4781 3    52756 6   965 24869664     792 7  
2701 78133   5260  63   9635 772869  656    9922  ;2701 78133  2 5260  63   9963 772869 656    922   ;2701 78133   5260  63   9635 772869  656    9922  
2701 78133   5260  63   9963 77269 656    922     ;270001 781   526  163   99635 742869365638   992  ;270001 781   526  163   99635 742869365638   992  
27001 781   526  163   9935 74286965638   992  5  ;2701  47813   526  1639  9635 7428696568 4   992  ;2701  47813   526  1639  9635 7428696568 4   992  
2701 47813   526  163   9635 7428696568 4   992  5; 270015 7 13  0  65 6     962285 3  3 9   288     ; 270015 7 13  0  65 6     962285 3  3 9   288     
 2705 7 13  0  65 6     962285 3  3 9   288 5    2;27011   37 13   65 69   3967285 3 3435 9 1  2 88  ;27011   37 13   65 69   3967285 3 3435 9 1  2 88  
27011   37 13   65 69    3967285 3 3435 9 11  2 88;7081 7813   526 6   652486966 3     7492     5 84 ;27011   37 13   65 69    3967285 3 3435 9 11  2 88
7081 7813    526 6   652486966 3     7492     5 84;27011 40781 3    526 6   9657246966   9  7929   5 ;7081 7813    526 6   652486966 3     7492     5 84
27011 410781 3    526 6   96572466966   9  7929   ;27011 40781 3     526 6   965 246966   9  7929   5;27011 410781 3    526 6   96572466966   9  7929   
277011 40781 3    526 6   965 246966    9  7929   ;27011 478 3    52756 6   965 24869664  2   792 7  ;27011 478 3    52756 6   965 24869664  2   792 7  
27011 4781 3    52756 6    965 24869664     792 7 ;2701 78133   5260  63   9635 772869  1656    9922 ;2701 78133   5260  63   9635 772869  1656    9922 
2701 78133   5260  63  9635 772869  656    9922   ;270001 781  526  163   996365 742869365638   992  ;270001 781  526  163   996365 742869365638   992  
270001 781   526  163   996335 742869365638    399;2701  47813   526  1639  9635 7428696568 4   992  ;270001 781   526  163   996335 742869365638    399
2701  47813   526  13639  9635 47428696568 4   992; 270015 7 130  0  65 6   1  962285 3  3 9   288   ; 270015 7 130  0  65 6   1  962285 3  3 9   288   
 270015 7 13  0  65 6     92285 3  3 9   288      ;27011   37 137   65 69   3967285 3 3435 9 1  227 8; 270015 7 13  0  65 6     92285 3  3 9   288      
7011  37 13   65 69   93967285 3 3435 9 1  2 88   ;27011   37 13   65 9    3967285 3 3435 9 11  2 88 ;7011  37 13   65 69   93967285 3 3435 9 1  2 88   
27011   37 13   65 69    3967285 3 3435 9 11  2 88;7081 7813    526 6   652486966 3     7 492     5 8;27011   37 13   65 69    3967285 3 3435 9 11  2 88
7081 7813    526 6   6524876966 3     7492     5 8;27011 410781 3    526 6   965972466966   9  7929  ;27011 410781 3    526 6   965972466966   9  7929  
27011 410781 3  8   526 6   96572466966   9  7929 ;27011 478 3     52756 6   965 24869664  22   792 7;27011 478 3     52756 6   965 24869664  22   792 7
27011 478 3    5256 6   965 248629664  2   792 7  ;2701 78133   5260  631   9635 7728619  1656    399;2701 78133   5260  631   9635 7728619  1656    399
2701 78133   5260  63   9635 772869  1656    9922 ;270001 781  526  163 6 996365 7428693065638   992 ;270001 781  526  163 6 996365 7428693065638   992 
270001 781  526  163   996365 7428693365638   992 ;270001 781   526  163  996335 742869365638    399 ;270001 781  526  163   996365 7428693365638   992 
270001 781   526  163   9963345 74286936563 8    3; 270015 7 130    65 6   1  962285 3  3 9   288    ;270001 781   526  163   9963345 74286936563 8    3
 270015 7 130  0  65 66   1  9962285 3  3 9   288 ; 270015 7 13  0  65 6   2  992285 3  3 9   288    ; 270015 7 130  0  65 66   1  9962285 3  3 9   288 
 270015 7 13  0  65 6     92285 3  3 9   288      ;7011 8 37 13   65 69   9367285 3 3435 9 1  2 88   ; 270015 7 13  0  65 6     92285 3  3 9   288      
7011  37 13   65 69   93967285 3 3435 9 1  2 88   ;27011   37 313   65 69    39667285 3 3435 9 11  2 ;27011   37 313   65 69    39667285 3 3435 9 11  2 
270116   37 13   65 69    3967285 3 3435 9 11  2 8;2701 1 410781 3   526 6   965972466966   9  7929  ;270116   37 13   65 69    3967285 3 3435 9 11  2 8
247011 410781 3    526 6   965972466966   9  7929 ;2701 478 3     52756 6   965 24869664  22   792 7 ;247011 410781 3    526 6   965972466966   9  7929 
27011 478 3     52756 6  965 24869664  22   792 7 ;271 78133   5260  631   9635 7728619  1656    399 ;271 78133   5260  631   9635 7728619  1656    399 
2701 78133   5260  631   9635 7728619  1656 6   39;270001 781  526  163 6 9963685 7428693065638   992;2701 78133   5260  631   9635 7728619  1656 6   39
2700071 781  526  163 6 996365 7428693065638   992;270001 781  526 4 163   996365 74286933656358   99;270001 781  526 4 163   996365 74286933656358   99
27000 781 5 526  163   996365 7428693365638   992 ;270001 781   526  163   9963345 742869365633 8    ;270001 781   526  163   9963345 742869365633 8    
270001 781    526  1683   9963345 774286936563 8  ; 270015 7 130  0  65 66    1  9962285 3  3 9   288;270001 781    526  1683   9963345 774286936563 8  
 270015 7 130  0  65 66   1  9962285 3  3 3 9   28; 27001 51 7 13  0  65 6     92285 3  3 9   288    ; 270015 7 130  0  65 66   1  9962285 3  3 3 9   28
2700154 7 13  0  65 6     92285 3  3 94   288     ;27011   37 313   65 69    309667285 33435 9 11  2 ;2700154 7 13  0  65 6     92285 3  3 94   288     
27011   37 313   65 69    39667285 3 3435 9 11  2 ;270116   37 13   65 69    3967285 3 3435 9 11  2 8;27011   37 313   65 69    39667285 3 3435 9 11  2 
270116    37 13   65 6 9    3967285 3 3435 9 11  2;247011 41081 3    5266   965972466966   9   7929  ;270116    37 13   65 6 9    3967285 3 3435 9 11  2
247011 4107181 3    526 6   965972466966   9  7929;27 78133   5260  4631   9635 77286619  1656    399;247011 4107181 3    526 6   965972466966   9  7929
271 78133   5260  631   9635 7728619  1656    2399;2701 78133   5260  631  91635 77287619  1656 6   3;271 78133   5260  631   9635 7728619  1656    2399
2701 78133   5260  631   98635 7728619  1656 6   3;270001 781  526 4 163  9963365 74286933656358   99;2701 78133   5260  631   98635 7728619  1656 6   3
270001 781  526 4 163   9961365 74286933656358   9;270001 781   5226  163   9963345 7442869365633 8  ;270001 781   5226  163   9963345 7442869365633 8  
270001 781   526  1663   963345 742869365633 8    ;270001 781    526  51683   9963345 774286936563 8 ;270001 781    526  51683   9963345 774286936563 8 
270001 781    526  1688   9963345 774286936563 8  ; 270015 7 130  0  65 66   1  996228 3  3 3 9   28 ; 270015 7 130  0  65 66   1  996228 3  3 3 9   28 
 70015 7 13  0  65 66   1  9962285 3  3 3 9   28  ;2700154 7 13    65 6     92285 3  3 94   288      ; 70015 7 13  0  65 66   1  9962285 3  3 3 9   28  
2700154 7 13  0  65 6     92285 38  3 94    288   ;27011   37 313    865 69    39667285 3 3435 9 11  ;2700154 7 13  0  65 6     92285 38  3 94    288   
27011   377 313   65 69    39667285 32 3435 9 11  ;270116   37 13   65 6 9    3967285 3 3435 9 11  2 ;270116   37 13   65 6 9    3967285 3 3435 9 11  2 
270116    37 13   65 26 9    3967285 3 3435 9 11  ;247011 4107181 3    526 6  1 965972466966   9  792;270116    37 13   65 26 9    3967285 3 3435 9 11  
247011 4107181 3    526 6   965972466966   9  7929;271 78133   5260  6311   9635 7728619  1656    239;271 78133   5260  6311   9635 7728619  1656    239
2471 78133   5260  631   9635 7728619  1656    239;28701 78133   5260  631   98635 7728619  1656 6   ;2471 78133   5260  631   9635 7728619  1656    239
2701 78133   5260  631   998635 7728619  1656 6   ;270001 781  8 5226  163   9963345 7442869365633 8 ;270001 781  8 5226  163   9963345 7442869365633 8 
2170001 781  5226  163   9963345 7442869365633 8  ;270001 781    526  516 83   9963345 77428696563 8 ;270001 781    526  516 83   9963345 77428696563 8 
270001 781    526 1 51683   9963345 774286936563 8;  270015 7 130  0  65 66   1  996228 3  3 3 9   28;  270015 7 130  0  65 66   1  996228 3  3 3 9   28
 270015 7 130  0  65 66   61  996228 3  3 32 9   2; 70015 7 13  0  65 66   1  9962285 3  3 3 9   28  ; 70015 7 13  0  65 66   1  9962285 3  3 3 9   28  
 70015 7 13  0  65 66   1  99962285 3  3 36 9    2;2700154 7 13  0  65 6     92285 38  3 914    288 5; 70015 7 13  0  65 66   1  99962285 3  3 36 9    2
2700154 7 13  0   65 6     92285 38 7 3 94   288  ;2701196   37 13   65 6 9    3967285 3 3435 9 11  2;2701196   37 13   65 6 9    3967285 3 3435 9 11  2
2701116   37 13   65 6 9   3967285 3 3435 9 11  2 ;270116    37 13  4 65 26 9    3967285 3 3435 9 11 ;2701116   37 13   65 6 9   3967285 3 3435 9 11  2 
270116  7  37 13   65 26 9    3967285 3 53435 9 11;271 78133   5260   6311   9635 7728619  16156    2;270116  7  37 13   65 26 9    3967285 3 53435 9 11
271 78133   5260  6311  0 9635 7728619  1656    23;2471 78133   5260  631    9635 7728619  1656     2;271 78133   5260  6311  0 9635 7728619  1656    23
2471 78133   5260  631   9635 772 861 9  61656    ;270001 781  8 5226  163   9963345 744286693865633 ;270001 781  8 5226  163   9963345 744286693865633 
270001 781  8 5226  163   99631345 7442869365633 8;270001 781     526  516 83   9963345 774286965663 ;270001 781  8 5226  163   99631345 7442869365633 8
27000 781    5526  516 83   9963345 7742869663 8  ;  270015 7 1830  0  65 66     996228 3  3 3 9   28;27000 781    5526  516 83   9963345 7742869663 8  
  270015 7 130  0  645 66   1  996228 3   3 9   28; 70015 7 13  0  65 66   1  9962285 3  3 3 9   28  ; 70015 7 13  0  65 66   1  9962285 3  3 3 9   28  
 70015 7 13  0  65 66  1  9962285 3  3 3  9   28  ; 70015 7 13  0  65 66   1  969962285 36  3 36 9   ; 70015 7 13  0  65 66  1  9962285 3  3 3  9   28  
 70015 7 13  0  6 66   1  99962285 3  3 36 9      ;2701196   37 13   65 6 9    396672845 3 3435 9 11 ;2701196   37 13   65 6 9    396672845 3 3435 9 11 
2701196   37 13   65  6 9    3967285 3 3435 9 11  ;2701116   37 13   65 6 9   3967285 3 3435 9 11  2 ;2701116   37 13   65 6 9   3967285 3 3435 9 11  2 
2701116   37 13   65 6  9   3967285 3 34435 9 11  ;270116  7  037 13   65 26 9    3967285 3 53435 9 1;2701116   37 13   65 6  9   3967285 3 34435 9 11  
2701116   37 13   65 6  9   3967285 3 34435 9 11  ;270116  7  037 13   65 26 9    3967285 3 53435 9 1;2701116   37 13   65 6  9   3967285 3 34435 9 11  
2701116   37 13   65 6  9   3967285 3 34435 9 11  ;270116  7  037 13   65 26 9    3967285 3 53435 9 1;2701116   37 13   65 6  9   3967285 3 34435 9 11  
2701116   37 13   65 6  9   3967285 3 34435 9 11  ;270116  7  037 13   65 26 9    3967285 3 53435 9 1;2701116   37 13   65 6  9   3967285 3 34435 9 11  
2701116   37 13   65 6  9   3967285 3 34435 9 11  ;270116  7  037 13   65 26 9    3967285 3 53435 9 1;2701116   37 13   65 6  9   3967285 3 34435 9 11  
