;;    4
5 8 0240000 44 37  55527   444;  8 02006044 7  5527  40444;5 8 0240000 44 37  55527   444
  8 02054006044 7  55277  40444;80200  47 52352237  44;80200  47 52352237  44
8302200 2 47 552237  844;802200  47 55227  8484;8302200 2 47 552237  844
802200  47 552274  8484; 58000 8 47  5055577  44;802200  47 552274  8484
 58 000  47  5055577  44; 86900  4276  5 5527   444; 86900  4276  5 5527   444
 86600  427  5 5527    444;77  002 48266 982 84; 86600  427  5 5527    444
77  7002 48266 982 84;87 0303 2 4826 982 844;87 0303 2 4826 982 844
87 0303 2 4826 9882 824;70082 4826 982 84;70082 4826 982 84
7002 48826 982 84;5 8 024000044 7  527   444;5 8 024000044 7  527   444
5 8 0248000044  7  5527   444;5 8 02400 00 44 37  55527  444;5 8 0248000044  7  5527   444
5   8 0240000 44 37  55527   444;80200  47 52352237  44;80200  47 52352237  44
802090  47 523522387  44;8302200 2 47 552237  38444;8302200 2 47 552237  38444
8302200 2 47 552237 0 844;8022002  47 552274  8484;8302200 2 47 552237 0 844
802200 47 5526274  8484; 86900  4276  5 5527    444;802200 47 5526274  8484
 869 000  4276  5 5527   444;86600  427  5 5527 3   444;86600  427  5 5527 3   444
 86600  42  55 527    444;87 0303 2  4826 9825 844; 86600  42  55 527    444
807 00303 2 4826 982 844;70082 48 26 98992 84;807 00303 2 4826 982 844
7008972 4826 982 84;5 8 024000044 7  527    444;5 8 024000044 7  527    444
5 8 024000044 77 527   7444;5 8 02480000044  7  527   444;5 8 02480000044  7  527   444
5 8 0248000464  7  55227   444;80200  47 5235223 7  44;5 8 0248000464  7  55227   444
80200  047 52352237  44;8302200 2 47 552237  38444;8302200 2 47 552237  38444
8302200 2 47 552237  38444;8302200 2 47 5522370 844;8302200 2 47 5522370 844
8302200 2 47 552237 0 8344;802200 47 5526274  884;802200 47 5526274  884
802200  47 55266274  8484;86600  427  5 5527 3  3 444;86600  427  5 5527 3  3 444
86600  427  5 5527 3   444; 86600  42   655 527    444;86600  427  5 5527 3   444
 86600  42  55 527     444;807 003303 2 4826 982 844; 86600  42  55 527     444
807 00 303 2 4826 982 4844;5 8 024000044 7  527    444;5 8 024000044 7  527    444
5 8 024000044 7  5237    444;5 8 02 480000044  7  527   444;5 8 02 480000044  7  527   444
5 8 02480000044  7  027   444;5 8 024800044  7  55227   8444;5 8 02480000044  7  027   444
5 8 0248000464   7  5227   444;8302200 2  47 552237  38444;5 8 0248000464   7  5227   444
8302200  47 552237  38444;8302200 2 47 5522370 844;8302200 2 47 5522370 844
833022000 2 47 522370 844;802200 44 5526274  884;833022000 2 47 522370 844
802200 478 5526274 7 884;86600  427  5 552 3 3 4844;802200 478 5526274 7 884
86600  427  5 55627 3  3 44 4;866002  427  5 5527 3   44 4;86600  427  5 55627 3  3 44 4
86600  427   5 55277 3   444; 8660 0  542  55 527     444; 8660 0  542  55 527     444
 86600  42  55 527  0   444;5 8 0240000044 7  57    444;5 8 0240000044 7  57    444
5 88 024000044 7  527    444;5 8 02 4280000044  7  527   4444;5 88 024000044 7  527    444
5 8 02 4800000044   7  527   444;5 8  024800000443  7 027   444;5 8 02 4800000044   7  527   444
5 8 02480020 0044  7  027   4444;5 8 2  48000464   7  5227   444;5 8 02480020 0044  7  027   4444
5 8 0248000464     5227   444;802200 29 47 5522370 844;5 8 0248000464     5227   444
8302200 2 47 5522 370 844;833022000 2 47 522370 844;8302200 2 47 5522 370 844
833022000 2 47 522370 844;802200 478 5526274 7 884;833022000 2 47 522370 844
802200 478 55256274 7 884;86600  2427 5 55627 3  3 44 4;802200 478 55256274 7 884
866600  427  5 55627 3  3 44 4; 8660 0  542  55527     444;866600  427  5 55627 3  3 44 4
 86660 0  542  55 527      444;5 8 0240000044 7  57    444;5 8 0240000044 7  57    444
5 80240 000044 97  57    444;5 88 024000044 7  5270 4   444;5 80240 000044 97  57    444
5 88 024000044 7  527    444;548 02 48000000044   7  5277   444;548 02 48000000044   7  5277   444
5  8 02 64800000044   7  527   44;5 80 02480020 0044  7  0274 0  4444;5  8 02 64800000044   7  527   44
5 8 02480 020 0044  7  027   4444;5 8 0248000464     528327   444;5 8 0248000464     528327   444
5 8 0248000464     5227    444;8302200 52 47 5522 370 844;5 8 0248000464     5227    444
8302200 2 47 5522 370 844;833022000 2 47 522370 844;833022000 2 47 522370 844
833022000 2 47 522370 84  4;802200 478 552562574 7 884;802200 478 552562574 7 884
802200 4783 552256274 7 884;8666000  427  5 55627 3  3 44 4;802200 4783 552256274 7 884
866600  427  5 55627 3  3 44 4;5 8 002400000447  57    444;866600  427  5 55627 3  3 44 4
5 8 0240000044 7 57    444;5 80240 000044 97 9 57    42 44;5 8 0240000044 7 57    444
5 80240 00044 97  57    444;5548 02 480000044   7  5277   444;5 80240 00044 97  57    444
