;;    4
8 8 00080000000 04 885883 5925222 02587 444  47 584;8 8 500080000000 04 4 88883  5925222 2587 4944  47 584;8 8 00080000000 04 885883 5925222 02587 444  47 584
8 8 00080000000 04 488883  597225222 2587 4944  47 584; 8  0080050252002 044  8448883 5592502 8227583 444  7 02 5084; 8  0080050252002 044  8448883 5592502 8227583 444  7 02 5084
 8  008005025200 044  8448883 559202 82225837 444  7 02 5084;8 008480000 800 35 070  24288 88030 56  565522568746  788  6 88844;8 008480000 800 35 070  24288 88030 56  565522568746  788  6 88844
8 008480000 00 358 070  2444288 8830 56  35965522568746  788   6 88844;8 08800600 600 35 070  2424288833 5  529655229 5686746  7 8   6 8044;8 08800600 600 35 070  2424288833 5  529655229 5686746  7 8   6 8044
8 0880000 600 35 0970  2424288833 5  529655229 5686746  7 8   76 8044;8 0880000 600 3 070  244 428883 5  5299655229 586746  78   6 844;8 0880000 600 35 0970  2424288833 5  529655229 5686746  7 8   76 8044
8 0880000 600 3 070  24 428883 5   5299655229 5686746  78    6 844;8 0880000 6600 35 70  24428 832 5  5965474522 5687469  78  66 88404;8 0880000 600 3 070  24 428883 5   5299655229 5686746  78    6 844
8 0880000 600 335 0704  244288 832 5  5965474522 5687469   78  76 88404;88 80800990700000  222 4666448 83 5536 95992 5222555877    8 404   74    88;88 80800990700000  222 4666448 83 5536 95992 5222555877    8 404   74    88
88 80800 990700000  22 4666448 83 5536 95992 52 2255587  7 8 404   274   88;8880  0008900000000 4479 4885883   592522252 258 7 4404   47 5824;88 80800 990700000  22 4666448 83 5536 95992 52 2255587  7 8 404   274   88
880  00900000000 449 4885883    59252222 2587 4404   47 5824;88  000890000000400 44 48875883   5922222 258 44   47 5924;880  00900000000 449 4885883    59252222 2587 4404   47 5824
88 000890000000 44 48875883   5922222 2587 444  47 5924;8 8 00080000000 034 838588 3 5925222 02587 444  47 584;88 000890000000 44 48875883   5922222 2587 444  47 5924
8  8 000800000  00 04 885883 5925222 02587 444  47 584; 8  0 0800650252002 044  84488834 5592502 825275583 444  7 02 5084; 8  0 0800650252002 044  84488834 5592502 825275583 444  7 02 5084
 8 00800502592002 044  8448883 559250 2 8227583 444  7 02 5084;8 008480000 800 35 070 5 24288 88030 56  565522568746  788  6 88844;8 008480000 800 35 070 5 24288 88030 56  565522568746  788  6 88844
87 008480000 800 35 070  24288 88030 6  565522568746  788  6 88844;8 08800600 600 35 070  24242888333 5  5296555229 5686746  7 8   66 8044;8 08800600 600 35 070  24242888333 5  5296555229 5686746  7 8   66 8044
8 08800600 600 35 070  2424288833 5  529655229 5686746  7 8   6 80404;8 0880000 600 35 0970  2424288833 5  529655229 5686746  7 8   76  8044;8 08800600 600 35 070  2424288833 5  529655229 5686746  7 8   6 80404
8 0880000 600 35 0970  24924288833 5  52965229 5686746  7 8   76 8044;80880000 600 3 070  24 428883 5   52996585229 568676  78    6 844;80880000 600 3 070  24 428883 5   52996585229 568676  78    6 844
8 0880000 600 3 0070  24 428883 5   5299655229 56867406  2478    6 844;88  80800990700000  222 4666448 83 5536 95992 52225556877     8 404   74    88;8 0880000 600 3 0070  24 428883 5   5299655229 56867406  2478    6 844
88 808009990700000  222  4666448 83 5 5 36 95992 5222555877    8 4 04   74    88;88 80800 9907008000  2246666448 833 5536 5992 52 2255587  7 8 404   274   88;88 808009990700000  222  4666448 83 5 5 36 95992 5222555877    8 4 04   74    88
888 80800 990700000  22 4666448 83 5536 95992 52 255587  7 8 404     2745   88;880  00900000400 449 48858 83    59252222 2587 4404  487 5824;880  00900000400 449 48858 83    59252222 2587 4404  487 5824
880  009 000600000 449 4885883    592522 2 2587 4404   407 5824;88 0008900030000 44 488758883   5922222 2587 444  447 5924;88 0008900030000 44 488758883   5922222 2587 444  447 5924
0888 000 890000000 44 48875883   59222222 2587 444  47 59224; 8  0 0800650252002 044 2 84488834 5592502 825275583 444  7 02 5084;0888 000 890000000 44 48875883   59222222 2587 444  47 59224
 8  0 08006502200 2 044  84488834 5592502 825275583 444  7 02 5084;8 008480000 800 35 070 5 24288 88030 56  5652582 2568746  788  6 88844;8 008480000 800 35 070 5 24288 88030 56  5652582 2568746  788  6 88844
8 008480000 800 35 070 5 24288 88030 56  5655225688746  788  6 88844;8 089800600 600 35 070 24242888333 5  55296555229 5686746  7 8   66 8044;8 089800600 600 35 070 24242888333 5  55296555229 5686746  7 8   66 8044
8 08800600 600 35 070  24242888333 5  5295555229 5686746  7 8 6  66 8044;8 08800600 600 35 070  244288833 5   529655229 5686746  7 8   6 80404;8 08800600 600 35 070  244288833 5   529655229 5686746  7 8   6 80404
8 0880060 600 35 070  24924288833  5  5296552229 5686746  7 8   6 80404;80880000 600 3 070  24 428883 5   529965852239 568676  78    6  844;80880000 600 3 070  24 428883 5   529965852239 568676  78    6  844
808080000 600 3 070  274 428883 5   52996558529 568676  78    6 844;8 0880000 600 3 0070  24 4288834  5   52 99655229 56867406  2478    6 8444;8 0880000 600 3 0070  24 4288834  5   52 99655229 56867406  2478    6 8444
284 0880000 600 3 0070  24 428883 5   5299655229 56867406  2478    6 844;88 808009990700000  222  46666448 83 5 5 36 5992 52225 558787   4 8 4 034   74    88;284 0880000 600 3 0070  24 428883 5   5299655229 56867406  2478    6 844
88 8080099907007000  222  4666448 83 5 5 36 95992 5222555877    8 4 04   74    88;880  00900000400 449 48858 83    592527222 2587 404  487 5824;880  00900000400 449 48858 83    592527222 2587 404  487 5824
880  00900000400 449 48858 83    5922523222 2587 4404  487 58324;88 0008900030000 44 488758883    5922222 2587 444   447 5924;880  00900000400 449 48858 83    5922523222 2587 4404  487 58324
88 000900030000 44 488758883   59224222 25872 444  447 5924;0888 000 890000000 44 488875883   59222222 2587 4444  47 59224;0888 000 890000000 44 488875883   59222222 2587 4444  47 59224
0888 000 890000000 44  48875883   59222222 2587 44  47 59224;8 008480000 800 35 070 5 4288 88030 586  5652582 2568746  788  6 88844;8 008480000 800 35 070 5 4288 88030 586  5652582 2568746  788  6 88844
8 0084800020 80 0 35 0 70 5 24288 88030 6  5652582 2568746  788  66 88844;8 089800600 600 35 070 24242888333 5  55 26555229 5686746    7 8   6 6 804 4;8 0084800020 80 0 35 0 70 5 24288 88030 6  5652582 2568746  788  66 88844
8 089006000 600 35 070 24242888333 5  5296555229 5686746  77 8    66 8044;8 08800600 600 35 070  244288833 58   529655229 5686746  7 8   6 8404;8 08800600 600 35 070  244288833 58   529655229 5686746  7 8   6 8404
8 608800600 600 35 070  244288833 5   529655229 5686746   8   6 80404;8088400000 600 3 070  24 428883 5   529968552239 5686676  78    6  844;8 608800600 600 35 070  244288833 5   529655229 5686746   8   6 80404
80880000 600 3 070  24 428883 5   52996552239 40568676  78    6  844;88 0880000 600 3 00740  24 4288834  5   52 99655229 56867406   2478     6 8444;80880000 600 3 070  24 428883 5   52996552239 40568676  78    6  844
8 008800300 600 3 0070  24 4288834 5   52 99655229 568657406  2478    6 8444;284 0880000 600 36 0070  24 428883 5   529965229 56867406  2478     6 844;284 0880000 600 36 0070  24 428883 5   529965229 56867406  2478     6 844
284 0880000 600 3 0070  24 428880 5   56299655229 56867406  2478    6 844;8800  030900000400 449 48858 83    592527222 2587 404  487 5824;284 0880000 600 3 0070  24 428880 5   56299655229 56867406  2478    6 844
0880  009000004009 449 48858 83    8592527222 2587 404  4487 5824;880  00900000400 449 48858 83    59225232222 2587 4404  487 58324;0880  009000004009 449 48858 83    8592527222 2587 404  4487 5824
880  009900000400 449 48858 83    592523222 2587 4404  487 5324;08888 00 890000000 44 888755883   59222222 2587 4444  47 59224;08888 00 890000000 44 888755883   59222222 2587 4444  47 59224
0888 000 890000000 44 488875883 7 56922222 2587 4444  47 5924;8 0084 80000 800 35 070 5 4288 88030 586  5652582 25687456   788  6 88844;0888 000 890000000 44 488875883 7 56922222 2587 4444  47 5924
8008480000 800 375 070 5 4288 88030 586  5652582 25687 46  788  6  848844;88 0084800020 80 0 35 0 70 5 24288 880030 6  5652582 2568746  788  66 88844;88 0084800020 80 0 35 0 70 5 24288 880030 6  5652582 2568746  788  66 88844
8 0084800020 80 0 35 0 70 5 242888 88030 6  5652582 25688746  788  66 888844;8 08800600 600 35 070  244288833 58   529655229 5686746  7 8   6 8404;8 08800600 600 35 070  244288833 58   529655229 5686746  7 8   6 8404
8 08800600 600 35 070  244288833 58   529655229 5686746  7 38   6 8404;8 60880060 60 0 35 070  244288833 5   529655229 5686746   8   6 80404;8 08800600 600 35 070  244288833 58   529655229 5686746  7 38   6 8404
8 60880060 600 35 070  244288833 5   529655229 5686746   8   6 804704;80880000 600 3 0570  24 428888 5   52996552239 40568676  78    6  844;80880000 600 3 0570  24 428888 5   52996552239 40568676  78    6  844
80880 000 600 3 070  24 428883 5   52996552239 40568676  378     6  844;284 0880000 600 36 0070  24 428883 5   529965229 56867406  24 7      6 844;284 0880000 600 36 0070  24 428883 5   529965229 56867406  24 7      6 844
284 0880000 600  36 0070  24 4288783 5   529965229 56867406  24708      6 844;284 0880000 600 3 0070  24 428880 5   56299655229 568674406   2478   6 6 844;284 0880000 600  36 0070  24 4288783 5   529965229 56867406  24708      6 844
284 0880000  600 3 03070  24 4288880 5   56299655229 56867406  2478    6 844;0880  009000004009 49 488858 83    86592527222 2587 404  4487 5824;284 0880000  600 3 03070  24 4288880 5   56299655229 56867406  2478    6 844
0880  009000004009 449 48858 83    8592527222 2587 404   4487 5824;08888 00 890000000 4 8288755883  59222 222 2587 4444  47 59224;08888 00 890000000 4 8288755883  59222 222 2587 4444  47 59224
088888 00 890000000 44 888755883   5592222292 2587 4444  7 59224;0888 0500 890000000 44 488875883 7 56922222 2587 4444  7 5924;088888 00 890000000 44 888755883   5592222292 2587 4444  7 59224
0888 000 8890000 000 44 488875883 7 556922222 2587 444  47 5924;88 00848000020 80 0 35 0 70  5 24288 880030 6 2 552582 2568746  788  666 88844;88 00848000020 80 0 35 0 70  5 24288 880030 6 2 552582 2568746  788  666 88844
88 0084800020 80 0 35 30 70 5 24288 8800330 6  5652582 25568746  788  66 88844;8 08800600 6300 350 070  244288833 58   529655229 5686746   8   6 8404;8 08800600 6300 350 070  244288833 58   529655229 5686746   8   6 8404
8 08800600 600 35 070   244288833 58   529655229 56865746  7 8   6 8404;8 08800600 60 35 070  24428833 58   529655229 56 86746  7 38   6 8404;8 08800600 600 35 070   244288833 58   529655229 56865746  7 8   6 8404
8 08800600 600 35 070  244288833 58   5296552 29 5686746  7 38   6 8404;808820000 600 3 0570  624 4528888 5   52996552239 40568676  78    6  8444;8 08800600 600 35 070  244288833 58   5296552 29 5686746  7 38   6 8404
80880000 600 3 0570  24 428888 5  0 5996552239 40568676  78    6  844;284 0880000 600 36 0070  24 428883 5 4  529965229 56867406  24 7      6 8544;284 0880000 600 36 0070  24 428883 5 4  529965229 56867406  24 7      6 8544
284 0880000 60 36 0070  24 428883 5   9529965229 568967406  24 7      6 844;284 080000 600  36 0070  24 4288783 5   529965229 56867406  24708      6 844;284 080000 600  36 0070  24 4288783 5   529965229 56867406  24708      6 844
284 0880000 600  36 0070  224 4288783  5   5299685229 56867406  24708      6 844;284 0880000  6600 3 03070   24 4288880     56299655229 56867406  2478    6 844;284 0880000 600  36 0070  224 4288783  5   5299685229 56867406  24708      6 844
284 0880000  600 3 03070  92 42888880 5   562499655229 56867406  24768    6 844;508888 00 890000000 4 8288755883  59222 222  25877 4444  47 59224;508888 00 890000000 4 8288755883  59222 222  25877 4444  47 59224
