2                                7  6             ;2                      8  3                       ;DRAW - EveryoneDied
 2                                                ;2                                       8         ;DRAW - timeout
2                                                 ;2           5                                     ;DRAW - timeout
2 4                                               ;2                                          9      ;2                                          9      
2              3                                  ;2              7                        1         ;DRAW - EveryoneDied
2                                                 ;2                                        3        ;DRAW - EveryoneDied
2                                                 ;2                                                 ;2                                                 
2                                                 ;2                                           5 2   ;2                                                 
12                                                ;2            4                     9  9           ;DRAW - timeout
2                   0     5             0         ;2   3                          2   9  91          ;2   3                          2   9  91          
2                                  9              ;2   7   5               0                         ;2   7   5               0                         
2   7   5                   5                     ;2                                                 ;2   7   5                   5                     
2                                                 ;2                                        4        ;DRAW - timeout
2                                 4               ;2                                         4       ;DRAW - timeout
2             3                                   ;2               6                        4        ;DRAW - EveryoneDied
2                                                 ;2         8     4                          4      ;DRAW - timeout
2                                                 ;2                                        4        ;DRAW - timeout
2                                                 ;2                                         4       ;DRAW - timeout
2                                                 ;2                                        4        ;DRAW - EveryoneDied
2                             00                  ;2        3                 0               4      ;DRAW - EveryoneDied
2                                        7        ;2                                         4       ;DRAW - timeout
2                                                 ;2                           0              4      ;DRAW - EveryoneDied
2                                                 ;2                                5        4       ;2                                                 
62                                        4       ;2 4                            7                9 ;DRAW - timeout
2  8                                       4      ; 2                             7     6           9; 2                             7     6           9
                             7               0 9  ;2                                                 ;DRAW - EveryoneDied
20                             7         9       9;2                                                 ;DRAW - timeout
2                      7         7                ;2                                                 ;2                                                 
2                                                 ;2                                                 ;DRAW - timeout
2                                        3       9;2                                               3 ;DRAW - timeout
